|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|embedding|cluster
1057|1057|063a8b6b9d|1|1|365.0|red|Cross Docking|new|not refubirshed|TOYS AND GAMES|no|365.0|reputation: red; products: 1; stock: 1; priceproduct: 365.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: TOYS AND GAMES; regularprice: no; Cluster:1|57|"[ 0.00332795 -0.00066738  0.00752505 ...  0.01021149  0.01530595
  0.01650996]"|1
1058|1058|063dd74e5e|1|2|249.0|green|Cross Docking|new|not refubirshed|GAMING|no|124.5|reputation: green; products: 1; stock: 2; priceproduct: 124.5; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: GAMING; regularprice: no; Cluster:1|54|"[ 0.01520425  0.0128896   0.01819186 ... -0.0003954   0.02288033
  0.03159172]"|1
1059|1059|06408bab4e|1|200|1069.61|light_green|Cross Docking|new|not refubirshed|HEALTH|no|5.35|reputation: light_green; products: 1; stock: 200; priceproduct: 5.35; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: HEALTH; regularprice: no; Cluster:1|54|"[-0.00542707 -0.00857062  0.01384941 ...  0.00149115  0.02001788
  0.0230428 ]"|1
1060|1060|0648f1bdf6|6|13|10955.0|yellow|Cross Docking|new|not refubirshed|SPORTS|no|842.69|reputation: yellow; products: 6; stock: 13; priceproduct: 842.69; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: SPORTS; regularprice: no; Cluster:1|54|"[-0.01005022  0.01325711 -0.00218668 ...  0.01635291  0.04745898
  0.02535886]"|1
1061|1061|064b629319|1|1|2000.0|newbie|Cross Docking|used|not refubirshed|TOOLS|no|2000.0|reputation: newbie; products: 1; stock: 1; priceproduct: 2000.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; Categories: TOOLS; regularprice: no; Cluster:2|55|"[-0.02264406  0.00397893 -0.00242507 ...  0.00555164  0.01422608
  0.01263451]"|2
1062|1062|064c65f26f|4|4|1862.1|light_green|Cross Docking|used,new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|yes,no|465.52|reputation: light_green; products: 4; stock: 4; priceproduct: 465.52; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used,new; Categories: BOOKS, MULTIMEDIA & OTHER E!; regularprice: yes,no; Cluster:1|65|"[ 0.00226042 -0.00670344  0.01364404 ... -0.00687761  0.02481274
  0.01875037]"|1
1063|1063|064d9a46dc|31|2896|5105.75|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS,FOODS,DRINKS|yes,no|1.76|reputation: green_platinum; products: 31; stock: 2896; priceproduct: 1.76; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: HOUSEHOLD ITEMS,FOODS,DRINKS; regularprice: yes,no; Cluster:0|73|"[ 0.00732865 -0.02276848  0.02647043 ...  0.00318277  0.01112089
  0.01465731]"|0
1064|1064|064e852fbd|2|5|1171.3|green|FulfilledbyMerchant|new|not refubirshed|HEALTH|yes|234.26|reputation: green; products: 2; stock: 5; priceproduct: 234.26; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: HEALTH; regularprice: yes; Cluster:3|54|"[-0.00997146  0.00958566  0.00415848 ... -0.00104055  0.0157733
  0.01511299]"|3
1065|1065|0651c1453e|3|37|267.3|green_silver|FulfilledbyMerchant,Cross Docking|new|not refubirshed|FOODS|yes|7.22|reputation: green_silver; products: 3; stock: 37; priceproduct: 7.22; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: FOODS; regularprice: yes; Cluster:3|61|"[-0.01558803 -0.01954856  0.00895976 ...  0.00941559  0.0116574
  0.01172465]"|3
1066|1066|06523bd907|1|1|499.0|red|DropShipping|used|not refubirshed|TOYS AND GAMES|no|499.0|reputation: red; products: 1; stock: 1; priceproduct: 499.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: used; Categories: TOYS AND GAMES; regularprice: no; Cluster:4|56|"[ 0.01477088  0.00263304 -0.01487146 ...  0.00949762  0.02172527
  0.00809668]"|4
