seller_nickname,stock,price,regular_price,Products,total_amount,regular_total_amount,Kmeans,AgC
060b528804,78,182.38,280.59,1,14225.64,51174.004199999996,1,3
061c95477a,112,4245.9,5561.35,21,475540.79999999993,23612935.965,3,1
06297987ec,3,3153.05,3319.0,1,9459.150000000001,10464972.950000001,1,3
0629c94e9b,89,2140.9,2525.31,3,190540.1,5406436.1790000005,1,3
06396f4a6b,116,2063.14,4798.0,2,239324.24,9898945.719999999,1,3
064c65f26f,2,1328.1,1398.0,2,2656.2,1856683.7999999998,1,3
064d9a46dc,2603,2744.75,2910.0,20,7144584.25,7987222.5,0,1
064e852fbd,5,1171.3,1378.0,2,5856.5,1614051.4,1,3
0651c1453e,37,267.3,325.0,3,9890.1,86872.5,1,3
065240eaed,0,982.8,1092.0,1,0.0,1073217.5999999999,1,3
0652a896b1,23,375.2,469.0,1,8629.6,175968.8,1,3
0656aa5e15,9,18947.0,21657.0,3,170523.0,410335179.0,2,0
065cf00c43,142,1964.13,2805.9,1,278906.46,5511152.367000001,1,3
065d4faa18,4,1110.83,1266.65,4,4443.32,1407032.8195,1,3
0660758591,18,803.25,945.0,4,14458.5,759071.25,1,3
06614b27a2,47,197.54,411.53,1,9284.38,81293.6362,1,3
0667077c4f,223,1265.8500000000001,1576.0,4,282284.55000000005,1994979.6000000003,1,3
0667fe5b2c,126,379.04,938.0,2,47759.04,355539.52,1,3
066abf557d,8,2568.22,2732.15,1,20545.76,7016762.273,1,3
066c94e8f8,644,1116.94,1195.68,3,719309.36,1335502.8192,1,3
0677c10461,64,2244.7200000000003,3273.5499999999997,4,143662.08000000002,7348203.156,1,3
067994323a,150,404.8,785.65,2,60720.0,318031.12,1,3
067b786f8b,178,879.12,999.0,1,156483.36000000002,878240.88,1,3
06809bb95c,2,126.0,210.0,1,252.0,26460.0,1,3
0683e1800c,1,319.2,399.0,1,319.2,127360.79999999999,1,3
0689fe00e2,7,3956.55,4174.0,2,27695.850000000002,16514639.700000001,1,1
068cb52ee7,3,136.95,249.0,1,410.84999999999997,34100.549999999996,1,3
0693ce7b07,311,298.39,358.0,2,92799.29,106823.62,1,3
0693fa43d2,25,1292.0,1360.0,1,32300.0,1757120.0,1,3
069abe29a0,3374,650.37,798.0,2,2194348.38,518995.26,1,1
069e36eeac,2,389.5,410.0,1,779.0,159695.0,1,3
06a11ae029,55,84.15,99.0,1,4628.25,8330.85,1,3
06a3c088ce,50,314.26,330.72,1,15713.0,103932.0672,1,3
06a5a8066e,351,3086.4900000000002,6275.87,5,1083357.99,19370409.9963,3,1
